Element;h_index;g_index;m_index;TC;NP;PY_start
INTERNATIONAL JOURNAL OF TRANSPORT ECONOMICS;1;1;0,100;28;1;2013
INTERNATIONAL JOURNAL OF URBAN SCIENCES;1;1;0,167;54;1;2017
INTERNATIONAL JOURNAL OF WILDLAND FIRE;1;1;0,083;7;1;2011
INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER;1;1;0,333;2;1;2020
INTERNATIONAL ORTHOPAEDICS;1;1;0,067;25;1;2008
INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS;1;1;0,200;5;1;2018
INTERNATIONAL REVIEW OF SOCIAL PSYCHOLOGY;1;1;0,167;16;1;2017
INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP;1;1;0,167;27;1;2017
INTERNATIONAL STATISTICAL REVIEW;1;1;0,067;147;1;2008
INTERNATIONAL TRANSACTIONS ON ELECTRICAL ENERGY SYSTEMS;1;1;0,111;7;1;2014
INVESTIGATIONAL NEW DRUGS;1;1;0,083;17;1;2011
IRANIAN POLYMER JOURNAL;1;1;0,250;4;1;2019
IRANIAN RED CRESCENT MEDICAL JOURNAL;1;1;0,111;27;1;2014
IRONMAKING & STEELMAKING;1;1;0,125;3;1;2015
JAPANESE JOURNAL OF APPLIED PHYSICS;1;1;0,125;18;1;2015
JAPANESE JOURNAL OF OPHTHALMOLOGY;1;1;0,048;5;1;2002
JMIR RESEARCH PROTOCOLS;1;1;0,250;18;1;2019
JMIR SERIOUS GAMES;1;1;0,333;3;1;2020
JOM;1;1;0,250;1;1;2019
JOURNAL FOR NATURE CONSERVATION;1;1;0,500;1;1;2021
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION;1;1;0,063;28;1;2007
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR;1;1;0,250;2;1;2019
JOURNAL OF ADOLESCENT HEALTH;1;1;0,500;3;1;2021
JOURNAL OF ADVANCED CONCRETE TECHNOLOGY;1;1;0,167;18;1;2017
JOURNAL OF ADVANCED TRANSPORTATION;1;1;0,250;3;1;2019
JOURNAL OF AEROSPACE ENGINEERING;1;1;0,059;15;1;2006
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY;1;1;0,040;6;1;1998
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS;1;1;0,071;22;1;2009
JOURNAL OF AGRICULTURAL ECONOMICS;1;1;0,167;16;1;2017
JOURNAL OF AGRICULTURAL SCIENCE;1;1;0,143;6;1;2016
JOURNAL OF ALLOYS AND COMPOUNDS;1;1;0,056;41;1;2005
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS;1;1;0,143;15;1;2016
JOURNAL OF ANALYTICAL TOXICOLOGY;1;1;0,143;11;1;2016
JOURNAL OF ANIMAL AND VETERINARY ADVANCES;1;1;0,063;2;1;2007
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY;1;2;0,143;31;2;2016
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY;1;1;0,059;35;1;2006
JOURNAL OF APPLIED ANALYSIS AND COMPUTATION;1;1;0,333;4;1;2020
JOURNAL OF APPLIED ECONOMETRICS;1;1;0,063;63;1;2007
JOURNAL OF APPLIED PHYSIOLOGY;1;1;0,200;11;1;2018
JOURNAL OF APPLIED PSYCHOLOGY;1;1;0,143;53;1;2016
JOURNAL OF AQUATIC ANIMAL HEALTH;1;1;0,083;10;1;2011
JOURNAL OF ARCHAEOLOGICAL SCIENCE;1;1;0,200;8;1;2018
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING;1;1;0,100;8;1;2013
JOURNAL OF ASIAN EARTH SCIENCES;1;1;0,250;24;1;2019
JOURNAL OF ATMOSPHERIC AND TERRESTRIAL PHYSICS;1;1;0,032;2;1;1992
JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS;1;1;0,250;3;2;2019
JOURNAL OF BIOLOGICAL CHEMISTRY;1;1;0,037;46;1;1996
JOURNAL OF BIOLOGICAL DYNAMICS;1;1;0,250;1;1;2019
JOURNAL OF BIOLOGICAL PHYSICS;1;1;0,059;14;1;2006
JOURNAL OF BIOLOGICAL RHYTHMS;1;1;0,031;34;1;1991
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS;1;1;0,043;2;1;2000
JOURNAL OF BIOPHARMACEUTICAL STATISTICS;1;1;0,059;40;1;2006
JOURNAL OF BONE AND MINERAL RESEARCH;1;1;0,053;76;1;2004
JOURNAL OF BRIDGE ENGINEERING;1;1;0,143;21;1;2016
JOURNAL OF BUON;1;1;0,100;2;1;2013
