Element;h_index;g_index;m_index;TC;NP;PY_start
INFORMATION AND SOFTWARE TECHNOLOGY;2;3;0,125;48;3;2007
INFORMATION FUSION;2;3;0,154;21;3;2010
INFORMATION TECHNOLOGY & MANAGEMENT;2;2;0,167;23;2;2011
INTERACTION STUDIES;2;2;0,167;9;2;2011
INTERNATIONAL JOURNAL FOR PARASITOLOGY;2;2;0,100;94;2;2003
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING;2;2;0,200;7;2;2013
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS;2;3;0,154;16;3;2010
INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION;2;2;0,167;39;2;2011
INTERNATIONAL JOURNAL OF DAMAGE MECHANICS;2;2;0,250;61;2;2015
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS;2;2;0,182;25;2;2012
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE;2;2;0,143;86;2;2009
INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS;2;2;0,143;141;2;2009
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER;2;2;0,250;24;2;2015
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING;2;2;0,222;120;2;2014
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING;2;3;0,182;14;3;2012
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS;2;3;0,154;25;3;2010
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;2;2;0,333;16;2;2017
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING;2;2;0,222;33;2;2014
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS;2;2;0,222;52;2;2014
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING;2;2;0,167;251;2;2011
INTERNATIONAL JOURNAL OF SIMULATION MODELLING;2;2;0,333;7;2;2017
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS;2;2;0,222;8;2;2014
INTERNATIONAL POLYMER PROCESSING;2;2;0,222;4;2;2014
INTERNET RESEARCH;2;2;0,250;53;2;2015
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS;2;2;0,091;10;2;2001
JOURNAL OF ANIMAL ECOLOGY;2;2;0,333;47;2;2017
JOURNAL OF BANKING & FINANCE;2;2;0,222;17;2;2014
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME;2;2;0,083;25;2;1999
JOURNAL OF BIOMECHANICS;2;2;0,286;23;2;2016
JOURNAL OF BIOMEDICAL INFORMATICS;2;2;0,250;16;2;2015
JOURNAL OF BIOMEDICAL OPTICS;2;2;0,118;105;2;2006
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;2;2;0,065;92;2;1992
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY;2;2;0,063;36;2;1991
JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY;2;2;0,286;7;3;2016
JOURNAL OF CHROMATOGRAPHY A;2;2;0,080;114;2;1998
JOURNAL OF CLINICAL EPIDEMIOLOGY;2;2;0,083;75;2;1999
JOURNAL OF CLINICAL MONITORING AND COMPUTING;2;3;0,087;25;3;2000
JOURNAL OF COGNITIVE NEUROSCIENCE;2;2;0,125;24;2;2007
JOURNAL OF COLLOID AND INTERFACE SCIENCE;2;2;0,222;105;2;2014
JOURNAL OF COMMUNICATION;2;2;0,222;48;2;2014
JOURNAL OF COMPUTATIONAL SOCIAL SCIENCE;2;4;0,400;35;4;2018
JOURNAL OF COMPUTING IN CIVIL ENGINEERING;2;3;0,286;11;4;2016
JOURNAL OF CONFLICT RESOLUTION;2;2;0,091;137;2;2001
JOURNAL OF CONTAMINANT HYDROLOGY;2;2;0,077;100;2;1997
JOURNAL OF CRYSTAL GROWTH;2;2;0,133;64;2;2008
JOURNAL OF FIRE SCIENCES;2;2;0,286;30;2;2016
JOURNAL OF FOOD ENGINEERING;2;2;0,077;86;2;1997
JOURNAL OF HUMAN EVOLUTION;2;2;0,400;4;2;2018
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS;2;2;0,286;4;2;2016
JOURNAL OF INTELLIGENT MANUFACTURING;2;3;0,143;31;3;2009
JOURNAL OF INVERTEBRATE PATHOLOGY;2;2;0,182;40;2;2012
JOURNAL OF MATERIALS IN CIVIL ENGINEERING;2;4;0,182;17;5;2012
JOURNAL OF MATERIALS SCIENCE;2;2;0,074;7;2;1996
JOURNAL OF MECHANICAL DESIGN;2;2;0,286;20;2;2016
JOURNAL OF MEDICAL IMAGING;2;2;0,333;9;2;2017
JOURNAL OF MEMBRANE SCIENCE;2;2;0,143;39;2;2009
JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY;2;2;0,250;16;2;2015
JOURNAL OF MOLECULAR LIQUIDS;2;2;0,500;12;2;2019
JOURNAL OF NEUROPHYSIOLOGY;2;2;0,154;61;2;2010
JOURNAL OF OPERATIONS MANAGEMENT;2;2;0,400;92;2;2018
JOURNAL OF ORTHOPAEDIC RESEARCH;2;2;0,400;7;2;2018
JOURNAL OF PAIN;2;2;0,100;70;2;2003
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY;2;2;0,182;93;2;2012
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS;2;2;0,069;52;2;1994
JOURNAL OF PHYSICAL CHEMISTRY B;2;2;0,083;27;2;1999
JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL;2;2;0,133;17;2;2008
JOURNAL OF PHYSIOLOGY-LONDON;2;2;0,083;168;2;1999
JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS;2;2;0,083;12;2;1999
JOURNAL OF PROSTHETIC DENTISTRY;2;2;0,087;24;2;2000
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY;2;3;0,167;107;3;2011
JOURNAL OF SUPERCRITICAL FLUIDS;2;2;0,200;32;2;2013
JOURNAL OF SURGICAL ONCOLOGY;2;2;0,095;23;2;2002
JOURNAL OF SURGICAL RESEARCH;2;2;0,077;38;2;1997
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY;2;3;0,250;14;3;2015
JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY;2;3;0,222;27;3;2014
JOURNAL OF UNIVERSAL COMPUTER SCIENCE;2;2;0,118;59;2;2006
JOURNAL OF URBAN PLANNING AND DEVELOPMENT;2;2;0,167;18;2;2011
JOURNAL OF UROLOGY;2;2;0,074;54;2;1996
JOURNAL OF VETERINARY MEDICINE SERIES B-INFECTIOUS DISEASES AND VETERINARY PUBLIC HEALTH;2;2;0,063;36;2;1991
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY;2;2;0,105;17;2;2004
KSCE JOURNAL OF CIVIL ENGINEERING;2;2;0,286;28;2;2016
KYBERNETES;2;2;0,069;7;3;1994
LANDSCAPE AND URBAN PLANNING;2;2;0,286;29;2;2016
LANGUAGE DYNAMICS AND CHANGE;2;2;0,400;5;2;2018
LIPIDS;2;2;0,077;32;2;1997
MACROMOLECULAR THEORY AND SIMULATIONS;2;3;0,100;22;3;2003
MARINE ECOLOGY PROGRESS SERIES;2;2;0,118;21;2;2006
MARKETING SCIENCE;2;2;0,074;546;2;1996
MATERIALS & DESIGN;2;2;0,182;58;2;2012
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS;2;2;0,133;52;2;2008
MATHEMATICS;2;3;0,500;13;4;2019
MEDICAL HYPOTHESES;2;3;0,111;57;3;2005
MEDICAL PHYSICS;2;2;0,182;25;2;2012
METHODSX;2;2;0,333;5;2;2017
MICROCHEMICAL JOURNAL;2;2;0,125;20;2;2007
MICROCIRCULATION;2;2;0,333;22;2;2017
MILITARY MEDICINE;2;2;0,182;6;2;2012
NATURE COMMUNICATIONS;2;3;0,286;21;3;2016
NEURAL COMPUTING & APPLICATIONS;2;4;0,154;72;4;2010
NEUROSURGERY;2;2;0,069;53;2;1994
NEW GENERATION COMPUTING;2;2;0,200;7;2;2013
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS;2;2;0,167;44;2;2011
NUCLEAR MEDICINE AND BIOLOGY;2;2;0,143;54;2;2009
OECOLOGIA;2;3;0,154;34;3;2010
OPERATIONS RESEARCH;2;2;0,154;36;2;2010
OPTICAL ENGINEERING;2;2;0,222;11;2;2014
ORGANIZATION SCIENCE;2;2;0,200;13;2;2013
PAIN;2;2;0,286;13;2;2016
PHARMACEUTICAL STATISTICS;2;2;0,500;11;2;2019
PHARMACOLOGICAL RESEARCH;2;2;0,074;11;2;1996
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR;2;2;0,065;21;2;1992
PHENOMENOLOGY AND THE COGNITIVE SCIENCES;2;3;0,143;334;3;2009
PHYSICA A;2;2;0,083;166;2;1999
PHYSICAL BIOLOGY;2;2;0,250;22;2;2015
PHYSICAL REVIEW LETTERS;2;2;0,111;67;2;2005
PHYSICS OF FLUIDS;2;2;0,200;44;2;2013
POLYMER CHEMISTRY;2;2;0,200;7;2;2013
POLYMER TESTING;2;2;0,333;6;2;2017
POWDER TECHNOLOGY;2;2;0,250;27;2;2015
PREVENTIVE VETERINARY MEDICINE;2;2;0,200;27;2;2013
PSYCHOLOGICAL SCIENCE;2;2;0,125;164;2;2007
PSYCHOLOGY OF VIOLENCE;2;2;0,400;20;2;2018
PSYCHOPHARMACOLOGY;2;2;0,100;225;2;2003
QUANTITATIVE ECONOMICS;2;2;0,167;9;2;2011
RADIOCHIMICA ACTA;2;2;0,154;7;2;2010
REGIONAL ENVIRONMENTAL CHANGE;2;2;0,250;15;2;2015
RELIGION BRAIN & BEHAVIOR;2;2;0,333;30;2;2017
RENEWABLE & SUSTAINABLE ENERGY REVIEWS;2;2;0,500;56;2;2019
RESEARCH EVALUATION;2;2;0,200;6;2;2013
REVIEW OF ECONOMIC STUDIES;2;2;0,080;305;2;1998
REVIEW OF ECONOMICS AND STATISTICS;2;2;0,091;172;2;2001
REVUE FRANCAISE DE SOCIOLOGIE;2;4;0,182;24;5;2012
ROBOTICS AND AUTONOMOUS SYSTEMS;2;4;0,080;46;4;1998
RSC ADVANCES;2;2;0,200;46;2;2013
SCIENCE CHINA-TECHNOLOGICAL SCIENCES;2;3;0,154;16;3;2010
SCIENCE OF THE TOTAL ENVIRONMENT;2;2;0,500;11;2;2019
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS;2;2;0,182;20;2;2012
SOCIAL SCIENCE & MEDICINE;2;2;0,111;151;2;2005
SOCIOLOGICAL METHODS & RESEARCH;2;2;0,250;49;2;2015
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY;2;2;0,143;24;2;2009
THEORETICAL POPULATION BIOLOGY;2;2;0,143;15;2;2009
THERMOCHIMICA ACTA;2;2;0,080;33;2;1998
TRANSPLANTATION;2;3;0,083;59;3;1999
TRANSPORT POLICY;2;2;0,167;37;2;2011
TRANSPORTMETRICA;2;2;0,118;23;2;2006
TRIALS;2;3;0,250;22;3;2015
ULTRASONICS SONOCHEMISTRY;2;2;0,400;18;2;2018
VALUE IN HEALTH;2;2;0,250;14;2;2015
VIETNAM JOURNAL OF MATHEMATICS;2;2;0,333;21;2;2017
VOLUNTAS;2;2;0,250;39;2;2015
WATER;2;3;0,400;13;3;2018
AAPS JOURNAL;1;1;0,167;8;1;2017
ABSTRACT AND APPLIED ANALYSIS;1;1;0,091;3;1;2012
ACADEMIC RADIOLOGY;1;1;0,067;10;1;2008
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL;1;1;0,125;24;1;2015
ACI MATERIALS JOURNAL;1;1;0,100;10;1;2013
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION;1;1;0,077;7;1;2010
ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS;1;1;0,333;2;1;2020
ACM TRANSACTIONS ON GRAPHICS;1;1;0,091;67;1;2012
ACM TRANSACTIONS ON INTERNET TECHNOLOGY;1;1;0,125;10;1;2015
ACM TRANSACTIONS ON SENSOR NETWORKS;1;1;0,200;6;1;2018
ACS COMBINATORIAL SCIENCE;1;1;0,083;7;1;2011
ACS OMEGA;1;1;0,500;2;1;2021
ACS SYNTHETIC BIOLOGY;1;1;0,167;17;1;2017
ACTA ASTRONOMICA;1;1;0,077;1;1;2010
ACTA BIOMATERIALIA;1;1;0,250;3;1;2019
ACTA BIOTHEORETICA;1;1;0,045;14;1;2001
ACTA CHIMICA SINICA;1;1;0,077;1;1;2010
ACTA MATHEMATICA SCIENTIA;1;1;0,111;16;1;2014
ACTA OCEANOLOGICA SINICA;1;1;0,111;5;1;2014
ACTA ODONTOLOGICA SCANDINAVICA;1;1;0,100;10;1;2013
ACTA OTO-LARYNGOLOGICA;1;1;0,040;5;1;1998
ACTA PARASITOLOGICA;1;1;0,045;1;1;2001
ACTA PHARMACOLOGICA SINICA;1;1;0,067;5;1;2008
ACTA POLITICA;1;1;0,100;9;1;2013
ACTA POLYMERICA SINICA;1;1;0,100;2;1;2013
ACTA PSYCHOLOGICA;1;1;0,250;11;1;2019
ACTA SCIENTIAE VETERINARIAE;1;1;0,100;1;1;2013
ACTA VETERINARIA BRNO;1;1;0,045;3;1;2001
ACTIVITES-REVUE ELECTRONIQUE;1;1;0,200;5;1;2018
ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY;1;1;0,167;14;1;2017
ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL;1;1;0,200;2;1;2018
ADDICTIVE BEHAVIORS;1;1;0,056;48;1;2005
ADMINISTRATIVE SCIENCE QUARTERLY;1;1;0,143;38;1;2016
ADVANCED SCIENCE;1;1;0,167;24;1;2017
ADVANCED THEORY AND SIMULATIONS;1;1;0,500;9;1;2021
ADVANCES IN CONCRETE CONSTRUCTION;1;1;0,250;9;1;2019
ADVANCES IN ENVIRONMENTAL RESEARCH;1;1;0,045;8;1;2001
ADVANCES IN MECHANICAL ENGINEERING;1;1;0,077;10;1;2010
ADVANCES IN SPACE RESEARCH;1;1;0,167;4;1;2017
AERONAUTICAL JOURNAL;1;1;0,250;1;1;2019
AGGRESSION AND VIOLENT BEHAVIOR;1;1;0,083;22;1;2011
AGRICULTURAL AND FOREST METEOROLOGY;1;1;0,100;29;1;2013
AGRICULTURAL ECONOMICS;1;1;0,125;5;1;2015
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING;1;1;0,040;8;1;1998
AIMS MATHEMATICS;1;1;0,333;5;1;2020
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY;1;1;0,143;7;1;2016
ALCOHOL AND ALCOHOLISM;1;1;0,043;49;1;2000
ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH;1;1;0,125;50;1;2015
ALZHEIMERS & DEMENTIA;1;1;0,111;25;1;2014
AMERICAN ANTIQUITY;1;1;0,167;17;1;2017
AMERICAN BEHAVIORAL SCIENTIST;1;1;0,042;39;1;1999
AMERICAN ECONOMIC REVIEW;1;1;0,071;8;1;2009
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS;1;1;0,200;4;1;2018
AMERICAN JOURNAL OF BOTANY;1;1;0,125;6;1;2015
AMERICAN JOURNAL OF CANCER RESEARCH;1;1;0,143;18;1;2016
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY;1;1;0,032;57;1;1992
AMERICAN JOURNAL OF OPHTHALMOLOGY;1;1;0,250;9;1;2019
AMERICAN JOURNAL OF PHYSICS;1;1;0,100;23;1;2013
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY;1;1;0,125;11;1;2015
AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY;1;1;0,034;37;1;1994
AMERICAN JOURNAL OF PRIMATOLOGY;1;1;0,143;30;1;2016
AMERICAN JOURNAL OF SPORTS MEDICINE;1;1;0,143;20;1;2016
AMERICAN JOURNAL OF SURGERY;1;1;0,037;52;1;1996
AMERICAN JOURNAL OF TRANSPLANTATION;1;1;0,059;98;1;2006
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE;1;1;0,143;64;1;2016
AMERICAN PSYCHOLOGIST;1;1;0,200;50;1;2018
AMERICAN SURGEON;1;1;0,063;9;1;2007
ANAESTHESIST;1;1;0,033;8;1;1993
ANALYSIS AND APPLICATIONS;1;1;0,143;24;1;2016
ANALYTICAL BIOCHEMISTRY;1;1;0,042;50;1;1999
ANALYTICAL LETTERS;1;1;0,032;12;1;1992
ANALYTICAL METHODS;1;1;0,167;20;1;2017
ANALYTICAL SCIENCES;1;1;0,045;15;1;2001
ANATOMICAL RECORD-ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY;1;1;0,125;12;1;2015
ANESTHESIA AND ANALGESIA;1;1;0,143;3;1;2016
ANNALS OF AFRICAN MEDICINE;1;1;0,250;6;1;2019
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE;1;1;0,071;12;1;2009
ANNALS OF CLINICAL MICROBIOLOGY AND ANTIMICROBIALS;1;1;0,167;3;1;2017
ANNALS OF EMERGENCY MEDICINE;1;1;0,031;17;1;1991
ANNALS OF EPIDEMIOLOGY;1;1;0,111;26;1;2014
ANNALS OF FAMILY MEDICINE;1;1;0,125;17;1;2015
ANNALS OF OCCUPATIONAL HYGIENE;1;1;0,038;37;1;1997
ANNALS OF ONCOLOGY;1;1;0,031;6;1;1991
ANNALS OF PHYSICS;1;1;0,167;1;1;2017
ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY;1;1;0,333;18;1;2020
ANTIBIOTICS-BASEL;1;1;0,500;1;1;2021
APPLIED AND ENVIRONMENTAL MICROBIOLOGY;1;1;0,038;104;1;1997
APPLIED CATALYSIS B-ENVIRONMENTAL;1;1;0,250;46;1;2019
APPLIED COMPOSITE MATERIALS;1;1;0,143;4;1;2016
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH;1;1;0,167;2;1;2017
APPLIED ERGONOMICS;1;1;0,250;1;1;2019
APPLIED NUMERICAL MATHEMATICS;1;1;0,125;3;1;2015
APPLIED PHYSICS LETTERS;1;1;0,071;24;1;2009
APPLIED SPATIAL ANALYSIS AND POLICY;1;2;0,100;10;2;2013
APPLIED THERMAL ENGINEERING;1;1;0,063;22;1;2007
AQUACULTURE REPORTS;1;1;0,333;13;1;2020
AQUATIC TOXICOLOGY;1;1;0,083;20;1;2011
ARABIAN JOURNAL OF GEOSCIENCES;1;1;0,250;1;1;2019
ARBOR-CIENCIA PENSAMIENTO Y CULTURA;1;1;0,077;18;1;2010
ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES;1;1;0,250;8;1;2019
ARCHAEOLOGY IN OCEANIA;1;1;0,067;31;1;2008
ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT;1;1;0,500;2;1;2021
ARCHIVES OF MEDICAL SCIENCE;1;1;0,063;2;1;2007
ARCHIVES OF OTOLARYNGOLOGY-HEAD & NECK SURGERY;1;1;0,036;10;1;1995
ARCHIVES OF TOXICOLOGY;1;1;0,067;8;1;2008
ARCHIVOS DE CARDIOLOGIA DE MEXICO;1;1;0,333;1;1;2020
ARQUIVOS BRASILEIROS DE CARDIOLOGIA;1;1;0,500;1;1;2021
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY;1;1;0,037;28;1;1996
ARTIFICIAL LIFE AND ROBOTICS;1;1;0,250;5;1;2019
ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS;1;1;0,167;5;1;2017
ASIA-PACIFIC JOURNAL OF ATMOSPHERIC SCIENCES;1;1;0,125;8;1;2015
ASSEMBLY AUTOMATION;1;1;0,333;1;1;2020
ASTRONOMY & ASTROPHYSICS;1;1;0,083;27;1;2011
ASTROPHYSICAL JOURNAL LETTERS;1;1;0,125;4;1;2015
ATHEROSCLEROSIS;1;1;0,200;13;1;2018
ATMOSPHERE;1;1;0,250;4;1;2019
ATOMIZATION AND SPRAYS;1;1;0,111;5;1;2014
AUSTRALIAN ENDODONTIC JOURNAL;1;1;0,200;1;1;2018
AUSTRALIAN JOURNAL OF ADULT LEARNING;1;1;0,200;3;1;2018
AUSTRALIAN PSYCHOLOGIST;1;1;0,050;47;1;2003
AUTOMATION AND REMOTE CONTROL;1;1;0,333;3;1;2020
AVANT;1;1;0,250;1;1;2019
BALTIC JOURNAL OF ECONOMICS;1;1;0,083;2;1;2011
BASIC AND CLINICAL NEUROSCIENCE;1;1;0,167;3;1;2017
BASIC RESEARCH IN CARDIOLOGY;1;1;0,063;29;1;2007
BEHAVIOR RESEARCH METHODS;1;1;0,067;17603;1;2008
BEHAVIORAL AND BRAIN SCIENCES;1;1;0,143;283;1;2016
BIOCHEMISTRY;1;1;0,053;20;1;2004
BIOCHIMICA ET BIOPHYSICA ACTA;1;1;0,031;173;1;1991
BIOCONTROL;1;1;0,083;5;1;2011
BIOELECTROMAGNETICS;1;1;0,043;38;1;2000
BIOESSAYS;1;1;0,200;13;1;2018
BIOETHICS;1;1;0,200;18;1;2018
BIOGEOCHEMISTRY;1;1;0,063;11;1;2007
BIOINSPIRATION & BIOMIMETICS;1;1;0,500;3;1;2021
BIOLOGICAL REVIEWS;1;1;0,500;2;1;2021
BIOMACROMOLECULES;1;1;0,111;13;1;2014
BIOMED RESEARCH INTERNATIONAL;1;1;0,125;28;1;2015
BIOMEDICAL ENGINEERING ONLINE;1;1;0,167;7;1;2017
BIOMEDICAL OPTICS EXPRESS;1;1;0,200;40;1;2018
BIOMEDICAL RESEARCH-INDIA;1;1;0,167;1;1;2017
BIOMETRICS;1;1;0,077;5;1;2010
BIOMIMETICS;1;1;0,500;3;1;2021
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS;1;1;0,100;12;1;2013
BIOPHARMACEUTICS & DRUG DISPOSITION;1;1;0,043;2;2;2000
BIOPHYSICAL JOURNAL;1;1;0,333;3;1;2020
BIOTECHNIQUES;1;1;0,053;3;1;2004
BIOTECHNOLOGY AND BIOENGINEERING;1;1;0,037;48;1;1996
BIRTH DEFECTS RESEARCH PART B-DEVELOPMENTAL AND REPRODUCTIVE TOXICOLOGY;1;1;0,077;39;1;2010
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY;1;1;0,167;7;1;2017
BJU INTERNATIONAL;1;1;0,071;49;1;2009
BMC ANESTHESIOLOGY;1;1;0,167;1;1;2017
BMC EVOLUTIONARY BIOLOGY;1;1;0,143;9;1;2016
BMC GENOMICS;1;1;0,111;20;1;2014
BMC NEPHROLOGY;1;1;0,333;2;1;2020
BMC VETERINARY RESEARCH;1;1;0,111;10;1;2014
BMJ OPEN;1;1;0,091;6;1;2012
BMJ QUALITY & SAFETY;1;1;0,143;12;1;2016
BOUNDARY-LAYER METEOROLOGY;1;1;0,038;29;1;1997
BRAIN AND COGNITION;1;1;0,083;24;1;2011
BRAIN AND LANGUAGE;1;1;0,043;59;1;2000
BRAIN RESEARCH BULLETIN;1;1;0,038;11;1;1997
BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING;1;1;0,250;3;1;2019
BREAST CANCER RESEARCH AND TREATMENT;1;1;0,091;64;1;2012
BRITISH JOURNAL OF CANCER;1;1;0,040;45;1;1998
BRITISH JOURNAL OF DERMATOLOGY;1;1;0,038;59;1;1997
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;1;1;0,500;2;1;2021
BRITISH JOURNAL OF HAEMATOLOGY;1;1;0,050;10;1;2003
BRITISH JOURNAL OF POLITICAL SCIENCE;1;1;0,048;5;1;2002
BRITISH POLITICS;1;1;0,067;13;1;2008
BRITISH POULTRY SCIENCE;1;1;0,125;10;1;2015
BUILDING SIMULATION;1;1;0,250;2;1;2019
BUILDINGS;1;1;0,333;6;1;2020
BULLETIN DE LA SOCIETE PREHISTORIQUE FRANCAISE;1;1;0,200;2;1;2018
BULLETIN OF EARTHQUAKE ENGINEERING;1;1;0,143;14;1;2016
BULLETIN OF THE VETERINARY INSTITUTE IN PULAWY;1;1;0,056;3;1;2005
BULLETIN OF THE WORLD HEALTH ORGANIZATION;1;1;0,071;26;1;2009
BULLETIN OF VOLCANOLOGY;1;1;0,071;52;1;2009
BURNS;1;1;0,036;1;1;1995
BUSINESS & INFORMATION SYSTEMS ENGINEERING;1;1;0,333;12;1;2020
BUSINESS STRATEGY AND THE ENVIRONMENT;1;1;0,167;23;1;2017
CAHIERS AGRICULTURES;1;1;0,067;6;1;2008
CANADIAN JOURNAL OF CHEMICAL ENGINEERING;1;1;0,100;2;1;2013
CANADIAN JOURNAL OF CHEMISTRY;1;1;0,143;20;1;2016
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES;1;1;0,034;15;1;1994
CANADIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY;1;1;0,077;5;1;2010
CANCER BIOLOGY & THERAPY;1;1;0,125;9;1;2015
CANCER CHEMOTHERAPY AND PHARMACOLOGY;1;1;0,053;43;1;2004
CANCER INFORMATICS;1;1;0,250;4;1;2019
CANCER LETTERS;1;1;0,053;41;1;2004
CARBOHYDRATE POLYMERS;1;1;0,143;34;1;2016
CARCINOGENESIS;1;1;0,036;40;1;1995
CARDIOVASCULAR ENGINEERING;1;1;0,067;17;1;2008
CASE STUDIES ON TRANSPORT POLICY;1;1;0,333;3;1;2020
CELLULAR PHYSIOLOGY AND BIOCHEMISTRY;1;1;0,200;9;1;2018
CEMENT AND CONCRETE RESEARCH;1;1;0,111;30;1;2014
CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH;1;1;0,125;16;1;2015
CERAMICS-SILIKATY;1;1;0,091;12;1;2012
CEREBROVASCULAR DISEASES;1;1;0,045;42;1;2001
CHEMICAL ENGINEERING & TECHNOLOGY;1;1;0,333;2;1;2020
CHEMICAL ENGINEERING COMMUNICATIONS;1;1;0,200;8;1;2018
CHEMICAL ENGINEERING JOURNAL;1;1;0,100;63;1;2013
CHEMICAL ENGINEERING JOURNAL AND THE BIOCHEMICAL ENGINEERING JOURNAL;1;1;0,036;10;1;1995
CHEMICAL PHYSICS LETTERS;1;1;0,250;1;1;2019
CHEMICAL RESEARCH IN TOXICOLOGY;1;1;0,053;17;1;2004
CHEMICO-BIOLOGICAL INTERACTIONS;1;1;0,100;10;1;2013
CHEMISTRY OF MATERIALS;1;1;0,077;35;1;2010
CHEMISTRY-A EUROPEAN JOURNAL;1;1;0,200;4;1;2018
CHINESE PHYSICS LETTERS;1;1;0,056;54;1;2005
CHINESE SCIENCE BULLETIN;1;1;0,053;1;1;2004
CHIRALITY;1;1;0,143;11;1;2016
CIRCULATION RESEARCH;1;1;0,036;326;1;1995
CITIES;1;1;0,250;5;1;2019
CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS;1;1;0,091;2;1;2012
CLIMATIC CHANGE;1;1;0,333;17;1;2020
CLINICAL AND EXPERIMENTAL OBSTETRICS & GYNECOLOGY;1;1;0,111;3;1;2014
CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY;1;1;0,250;4;1;2019
CLINICAL AND TRANSLATIONAL RADIATION ONCOLOGY;1;1;0,250;1;1;2019
CLINICAL BIOCHEMISTRY;1;1;0,111;12;1;2014
CLINICAL CARDIOLOGY;1;1;0,045;70;1;2001
CLINICAL CHEMISTRY AND LABORATORY MEDICINE;1;1;0,100;26;1;2013
