SO;Rank;Freq;cumFreq;Zone
ADVANCES IN COMPLEX SYSTEMS;44;14;1251;Zone 2
APPLIED SCIENCES-BASEL;45;14;1265;Zone 2
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS;46;14;1279;Zone 2
MATHEMATICAL PROBLEMS IN ENGINEERING;47;14;1293;Zone 2
NONLINEAR DYNAMICS;48;14;1307;Zone 2
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;49;14;1321;Zone 2
JOURNAL OF APPLIED POLYMER SCIENCE;50;13;1334;Zone 2
SENSORS;51;13;1347;Zone 2
ISIJ INTERNATIONAL;52;12;1359;Zone 2
JOURNAL OF THE ROYAL SOCIETY INTERFACE;53;12;1371;Zone 2
MACROMOLECULES;54;12;1383;Zone 2
SAFETY SCIENCE;55;12;1395;Zone 2
CHAOS;56;11;1406;Zone 2
CHINESE PHYSICS B;57;11;1417;Zone 2
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION;58;11;1428;Zone 2
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE;59;11;1439;Zone 2
ENTROPY;60;11;1450;Zone 2
IEEE TRANSACTIONS ON CONTROL OF NETWORK SYSTEMS;61;11;1461;Zone 2
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING;62;11;1472;Zone 2
ROYAL SOCIETY OPEN SCIENCE;63;11;1483;Zone 2
ARTIFICIAL INTELLIGENCE;64;10;1493;Zone 2
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH;65;10;1503;Zone 2
IEEE ROBOTICS AND AUTOMATION LETTERS;66;10;1513;Zone 2
PHYSICA D-NONLINEAR PHENOMENA;67;10;1523;Zone 2
POLYMER ENGINEERING AND SCIENCE;68;10;1533;Zone 2
TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN;69;10;1543;Zone 2
COGNITIVE SYSTEMS RESEARCH;70;9;1552;Zone 2
ECOLOGY AND SOCIETY;71;9;1561;Zone 2
IEEE CONTROL SYSTEMS LETTERS;72;9;1570;Zone 2
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS;73;9;1579;Zone 2
INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH;74;9;1588;Zone 2
JOURNAL OF ENVIRONMENTAL MANAGEMENT;75;9;1597;Zone 2
APPLIED ARTIFICIAL INTELLIGENCE;76;8;1605;Zone 2
ENERGIES;77;8;1613;Zone 2
ENVIRONMENT AND PLANNING B-PLANNING & DESIGN;78;8;1621;Zone 2
INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS;79;8;1629;Zone 2
JOURNAL OF SIMULATION;80;8;1637;Zone 2
JOURNAL OF SYSTEMS SCIENCE & COMPLEXITY;81;8;1645;Zone 2
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES;82;8;1653;Zone 2
SPE JOURNAL;83;8;1661;Zone 2
SYSTEMS & CONTROL LETTERS;84;8;1669;Zone 2
APPLIED MATHEMATICS AND COMPUTATION;85;7;1676;Zone 2
ARTIFICIAL LIFE;86;7;1683;Zone 2
ASIAN JOURNAL OF CONTROL;87;7;1690;Zone 2
BIOLOGICAL CYBERNETICS;88;7;1697;Zone 2
DISCRETE DYNAMICS IN NATURE AND SOCIETY;89;7;1704;Zone 2
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS;90;7;1711;Zone 2
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS;91;7;1718;Zone 2
JOURNAL OF COMPUTATIONAL SCIENCE;92;7;1725;Zone 2
JOURNAL OF ECONOMIC PSYCHOLOGY;93;7;1732;Zone 2
KNOWLEDGE-BASED SYSTEMS;94;7;1739;Zone 2
KYBERNETES;95;7;1746;Zone 2
SIAM JOURNAL ON APPLIED MATHEMATICS;96;7;1753;Zone 2
SYMMETRY-BASEL;97;7;1760;Zone 2
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION;98;6;1766;Zone 2
AI COMMUNICATIONS;99;6;1772;Zone 2
ANIMAL BEHAVIOUR;100;6;1778;Zone 2
APPLIED INTELLIGENCE;101;6;1784;Zone 2
CHEMICAL ENGINEERING SCIENCE;102;6;1790;Zone 2
COMPUTATIONAL INTELLIGENCE;103;6;1796;Zone 2
COMPUTER ANIMATION AND VIRTUAL WORLDS;104;6;1802;Zone 2
DECISION SUPPORT SYSTEMS;105;6;1808;Zone 2
ENERGY AND BUILDINGS;106;6;1814;Zone 2
FRONTIERS IN PHYSICS;107;6;1820;Zone 2
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS;108;6;1826;Zone 2
IEEE TRANSACTIONS ON POWER SYSTEMS;109;6;1832;Zone 2
IEEE TRANSACTIONS ON ROBOTICS;110;6;1838;Zone 2
IEEE TRANSACTIONS ON SIGNAL PROCESSING;111;6;1844;Zone 2
INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES;112;6;1850;Zone 2
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;113;6;1856;Zone 2
JOURNAL OF CLEANER PRODUCTION;114;6;1862;Zone 2
JOURNAL OF HAZARDOUS MATERIALS;115;6;1868;Zone 2
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS;116;6;1874;Zone 2
JOURNAL OF STATISTICAL PHYSICS;117;6;1880;Zone 2
MACROECONOMIC DYNAMICS;118;6;1886;Zone 2
MANAGEMENT SCIENCE;119;6;1892;Zone 2
MATHEMATICAL BIOSCIENCES AND ENGINEERING;120;6;1898;Zone 2
MATHEMATICS;121;6;1904;Zone 2
NEURAL COMPUTATION;122;6;1910;Zone 2
ROBOTICS AND AUTONOMOUS SYSTEMS;123;6;1916;Zone 2
SCIENCE CHINA-INFORMATION SCIENCES;124;6;1922;Zone 2
SIAM JOURNAL ON CONTROL AND OPTIMIZATION;125;6;1928;Zone 2
STATISTICS IN MEDICINE;126;6;1934;Zone 2
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE;127;6;1940;Zone 2
TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL;128;6;1946;Zone 2
ADVANCES IN CIVIL ENGINEERING;129;5;1951;Zone 2
AMERICAN JOURNAL OF EPIDEMIOLOGY;130;5;1956;Zone 2
APPLIED ENERGY;131;5;1961;Zone 2
APPLIED SOFT COMPUTING;132;5;1966;Zone 2
BEHAVIORAL ECOLOGY;133;5;1971;Zone 2
BULLETIN OF MATHEMATICAL BIOLOGY;134;5;1976;Zone 2
CHEMOSPHERE;135;5;1981;Zone 2
CLINICAL THERAPEUTICS;136;5;1986;Zone 2
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B;137;5;1991;Zone 2
FRONTIERS IN NEUROROBOTICS;138;5;1996;Zone 2
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;139;5;2001;Zone 2
IEEE INTERNET OF THINGS JOURNAL;140;5;2006;Zone 2
IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS;141;5;2011;Zone 2
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY;142;5;2016;Zone 2
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;143;5;2021;Zone 2
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS;144;5;2026;Zone 2
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH;145;5;2031;Zone 2
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH;146;5;2036;Zone 2
JOURNAL OF APPLIED ECOLOGY;147;5;2041;Zone 2
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY;148;5;2046;Zone 2
JOURNAL OF COMPUTATIONAL SOCIAL SCIENCE;149;5;2051;Zone 2
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY;150;5;2056;Zone 2
JOURNAL OF EVOLUTIONARY ECONOMICS;151;5;2061;Zone 2
JOURNAL OF MARKETING RESEARCH;152;5;2066;Zone 2
JOURNAL OF MATERIALS IN CIVIL ENGINEERING;153;5;2071;Zone 2
JOURNAL OF MATHEMATICAL SOCIOLOGY;154;5;2076;Zone 2
LAND USE POLICY;155;5;2081;Zone 2
LANDSCAPE ECOLOGY;156;5;2086;Zone 2
NEURAL NETWORKS;157;5;2091;Zone 2
NEW JOURNAL OF PHYSICS;158;5;2096;Zone 2
OPTICS EXPRESS;159;5;2101;Zone 2
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;160;5;2106;Zone 2
PHYSICS LETTERS A;161;5;2111;Zone 2
POLYMER;162;5;2116;Zone 2
REVUE FRANCAISE DE SOCIOLOGIE;163;5;2121;Zone 2
RISK ANALYSIS;164;5;2126;Zone 2
SOCIAL SCIENCE COMPUTER REVIEW;165;5;2131;Zone 2
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE;166;5;2136;Zone 2
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS;167;4;2140;Zone 2
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY;168;4;2144;Zone 2
ACTA PHYSICA SINICA;169;4;2148;Zone 2
AGRICULTURAL SYSTEMS;170;4;2152;Zone 2
AICHE JOURNAL;171;4;2156;Zone 2
ANNALS OF REGIONAL SCIENCE;172;4;2160;Zone 2
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS;173;4;2164;Zone 2
APPLIED ECONOMICS;174;4;2168;Zone 2
AUTOMATION IN CONSTRUCTION;175;4;2172;Zone 2
BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES;176;4;2176;Zone 2
BIOSYSTEMS;177;4;2180;Zone 2
BUILDING AND ENVIRONMENT;178;4;2184;Zone 2
COMPUTERS & INDUSTRIAL ENGINEERING;179;4;2188;Zone 2
ECOLOGICAL INFORMATICS;180;4;2192;Zone 2
ECONOMIC MODELLING;181;4;2196;Zone 2
ECONOMIC THEORY;182;4;2200;Zone 2
ENVIRONMENTAL RESEARCH LETTERS;183;4;2204;Zone 2
EPL;184;4;2208;Zone 2
ERGONOMICS;185;4;2212;Zone 2
FRONTIERS IN HUMAN NEUROSCIENCE;186;4;2216;Zone 2
GAMES AND ECONOMIC BEHAVIOR;187;4;2220;Zone 2
HYDROMETALLURGY;188;4;2224;Zone 2
IEEE SYSTEMS JOURNAL;189;4;2228;Zone 2
IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING;190;4;2232;Zone 2
IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS;191;4;2236;Zone 2
IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS;192;4;2240;Zone 2
IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING;193;4;2244;Zone 2
IEEE TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING OVER NETWORKS;194;4;2248;Zone 2
