Element;h_index;g_index;m_index;TC;NP;PY_start
BAI Q;1;1;0,250;4;1;2019
BAIARDI LC;1;1;0,250;11;1;2019
BAIK S;1;1;0,200;4;1;2018
BAILEY AM;1;1;0,063;87;1;2007
BAILEY J;1;1;0,111;114;1;2014
BAILEY JD;2;2;0,250;95;2;2015
BAILLY D;1;1;0,100;14;1;2013
BAJARI P;2;2;0,154;92;2;2010
BAJEC IL;2;2;0,250;21;2;2015
BAJO J;1;1;0,091;10;1;2012
BAKER JA;1;1;0,125;17;1;2015
BAKER KC;1;1;0,200;3;1;2018
BAKHSHAYESHI I;1;1;0,333;13;1;2020
BAKIR R;1;1;0,167;3;1;2017
BAKKE TA;1;1;0,091;8;1;2012
BAKKER R;1;1;0,125;16;1;2015
BAKLANOV A;1;1;0,200;12;1;2018
BAKOLAS E;1;1;0,500;3;1;2021
BALA V;1;1;0,040;303;1;1998
BALACHANDER S;1;1;0,100;1;1;2013
BALANKIN A;1;1;0,125;1;1;2015
BALANKIN AS;2;2;0,167;8;2;2011
BALBI S;1;1;0,100;44;1;2013
BALBOA A;1;1;0,333;2;1;2020
BALCH T;1;1;0,059;34;1;2006
BALDASSARRE G;1;1;0,200;4;1;2018
BALE CSE;1;1;0,250;5;1;2019
BALKIS N;1;1;0,053;48;1;2004
BALKOSE D;1;1;0,125;7;1;2015
BALL J;1;1;0,077;34;1;2010
BALLANTI E;1;1;0,111;2;1;2014
BALLARD DH;1;1;0,100;21;1;2013
BALLARD L;1;1;0,077;60;1;2010
BALLATO L;1;1;0,111;4;1;2014
BALLESTA S;1;1;0,500;1;1;2021
BALMANN A;1;1;0,059;139;1;2006
BALMER M;1;1;0,071;41;1;2009
BALZARINI A;1;1;0,200;12;1;2018
BAMIEH B;1;1;0,077;98;1;2010
BAN YF;1;1;0,091;36;1;2012
BANAKOU D;1;1;0,250;10;1;2019
BANDARU AK;1;1;0,143;88;1;2016
BANDINI S;3;3;0,333;75;3;2014
BANDYOPADHYAY S;1;1;0,059;11;1;2006
BANERJEE M;1;1;0,333;4;1;2020
BANERJEE S;1;1;0,200;14;1;2018
BANNISTER I;1;1;0,059;164;1;2006
BANSAL VK;1;1;0,038;138;1;1997
