,RunId,iteration,Step,defect_multiplier,width,height,schedule_type,payoffs,seed,Cooperating,Defecting
402,402,20,100,2,50,50,Random,,,0,2500
403,403,20,100,3,50,50,Random,,,0,2500
404,404,20,100,4,50,50,Random,,,0,2500
405,405,20,100,5,50,50,Random,,,0,2500
406,406,20,100,6,50,50,Random,,,0,2500
407,407,20,100,7,50,50,Random,,,0,2500
408,408,20,100,8,50,50,Random,,,0,2500
409,409,20,100,9,50,50,Random,,,0,2500
410,410,20,100,10,50,50,Random,,,0,2500
411,411,20,100,11,50,50,Random,,,0,2500
412,412,20,100,12,50,50,Random,,,0,2500
413,413,20,100,13,50,50,Random,,,0,2500
414,414,20,100,14,50,50,Random,,,0,2500
415,415,20,100,15,50,50,Random,,,0,2500
416,416,20,100,16,50,50,Random,,,0,2500
417,417,20,100,17,50,50,Random,,,0,2500
418,418,20,100,18,50,50,Random,,,0,2500
419,419,20,100,19,50,50,Random,,,0,2500
420,420,21,100,0,50,50,Random,,,2478,22
421,421,21,100,1,50,50,Random,,,2319,181
422,422,21,100,2,50,50,Random,,,0,2500
423,423,21,100,3,50,50,Random,,,0,2500
424,424,21,100,4,50,50,Random,,,0,2500
425,425,21,100,5,50,50,Random,,,0,2500
426,426,21,100,6,50,50,Random,,,0,2500
427,427,21,100,7,50,50,Random,,,0,2500
428,428,21,100,8,50,50,Random,,,0,2500
429,429,21,100,9,50,50,Random,,,0,2500
430,430,21,100,10,50,50,Random,,,0,2500
431,431,21,100,11,50,50,Random,,,0,2500
432,432,21,100,12,50,50,Random,,,0,2500
433,433,21,100,13,50,50,Random,,,0,2500
434,434,21,100,14,50,50,Random,,,0,2500
435,435,21,100,15,50,50,Random,,,0,2500
436,436,21,100,16,50,50,Random,,,0,2500
437,437,21,100,17,50,50,Random,,,0,2500
438,438,21,100,18,50,50,Random,,,0,2500
439,439,21,100,19,50,50,Random,,,0,2500
440,440,22,100,0,50,50,Random,,,2500,0
441,441,22,100,1,50,50,Random,,,2426,74
442,442,22,100,2,50,50,Random,,,0,2500
443,443,22,100,3,50,50,Random,,,0,2500
444,444,22,100,4,50,50,Random,,,0,2500
445,445,22,100,5,50,50,Random,,,0,2500
446,446,22,100,6,50,50,Random,,,0,2500
447,447,22,100,7,50,50,Random,,,0,2500
448,448,22,100,8,50,50,Random,,,0,2500
449,449,22,100,9,50,50,Random,,,0,2500
450,450,22,100,10,50,50,Random,,,0,2500
451,451,22,100,11,50,50,Random,,,0,2500
452,452,22,100,12,50,50,Random,,,0,2500
453,453,22,100,13,50,50,Random,,,0,2500
454,454,22,100,14,50,50,Random,,,0,2500
455,455,22,100,15,50,50,Random,,,0,2500
456,456,22,100,16,50,50,Random,,,0,2500
457,457,22,100,17,50,50,Random,,,0,2500
458,458,22,100,18,50,50,Random,,,0,2500
459,459,22,100,19,50,50,Random,,,0,2500
460,460,23,100,0,50,50,Random,,,2496,4
461,461,23,100,1,50,50,Random,,,0,2500
462,462,23,100,2,50,50,Random,,,0,2500
463,463,23,100,3,50,50,Random,,,0,2500
464,464,23,100,4,50,50,Random,,,0,2500
465,465,23,100,5,50,50,Random,,,0,2500
466,466,23,100,6,50,50,Random,,,0,2500
467,467,23,100,7,50,50,Random,,,0,2500
468,468,23,100,8,50,50,Random,,,0,2500
469,469,23,100,9,50,50,Random,,,0,2500
470,470,23,100,10,50,50,Random,,,0,2500
471,471,23,100,11,50,50,Random,,,0,2500
472,472,23,100,12,50,50,Random,,,0,2500
473,473,23,100,13,50,50,Random,,,0,2500
474,474,23,100,14,50,50,Random,,,0,2500
475,475,23,100,15,50,50,Random,,,0,2500
476,476,23,100,16,50,50,Random,,,0,2500
477,477,23,100,17,50,50,Random,,,0,2500
478,478,23,100,18,50,50,Random,,,0,2500
479,479,23,100,19,50,50,Random,,,0,2500
480,480,24,100,0,50,50,Random,,,2418,82
481,481,24,100,1,50,50,Random,,,2309,191
482,482,24,100,2,50,50,Random,,,0,2500
483,483,24,100,3,50,50,Random,,,0,2500
484,484,24,100,4,50,50,Random,,,0,2500
485,485,24,100,5,50,50,Random,,,0,2500
486,486,24,100,6,50,50,Random,,,0,2500
487,487,24,100,7,50,50,Random,,,0,2500
488,488,24,100,8,50,50,Random,,,0,2500
489,489,24,100,9,50,50,Random,,,0,2500
490,490,24,100,10,50,50,Random,,,0,2500
491,491,24,100,11,50,50,Random,,,0,2500
492,492,24,100,12,50,50,Random,,,0,2500
493,493,24,100,13,50,50,Random,,,0,2500
494,494,24,100,14,50,50,Random,,,0,2500
495,495,24,100,15,50,50,Random,,,0,2500
496,496,24,100,16,50,50,Random,,,0,2500
497,497,24,100,17,50,50,Random,,,0,2500
498,498,24,100,18,50,50,Random,,,0,2500
499,499,24,100,19,50,50,Random,,,0,2500
500,500,25,100,0,50,50,Random,,,2447,53
501,501,25,100,1,50,50,Random,,,0,2500
502,502,25,100,2,50,50,Random,,,2042,458
503,503,25,100,3,50,50,Random,,,0,2500
504,504,25,100,4,50,50,Random,,,0,2500
505,505,25,100,5,50,50,Random,,,0,2500
506,506,25,100,6,50,50,Random,,,0,2500
507,507,25,100,7,50,50,Random,,,0,2500
508,508,25,100,8,50,50,Random,,,0,2500
509,509,25,100,9,50,50,Random,,,0,2500
510,510,25,100,10,50,50,Random,,,0,2500
511,511,25,100,11,50,50,Random,,,0,2500
512,512,25,100,12,50,50,Random,,,0,2500
513,513,25,100,13,50,50,Random,,,0,2500
514,514,25,100,14,50,50,Random,,,0,2500
515,515,25,100,15,50,50,Random,,,0,2500
516,516,25,100,16,50,50,Random,,,0,2500
517,517,25,100,17,50,50,Random,,,0,2500
518,518,25,100,18,50,50,Random,,,0,2500
519,519,25,100,19,50,50,Random,,,0,2500
520,520,26,100,0,50,50,Random,,,2457,43
521,521,26,100,1,50,50,Random,,,2263,237
522,522,26,100,2,50,50,Random,,,2111,389
523,523,26,100,3,50,50,Random,,,0,2500
524,524,26,100,4,50,50,Random,,,0,2500
525,525,26,100,5,50,50,Random,,,0,2500
526,526,26,100,6,50,50,Random,,,0,2500
527,527,26,100,7,50,50,Random,,,0,2500
528,528,26,100,8,50,50,Random,,,0,2500
529,529,26,100,9,50,50,Random,,,0,2500
530,530,26,100,10,50,50,Random,,,0,2500
531,531,26,100,11,50,50,Random,,,0,2500
532,532,26,100,12,50,50,Random,,,0,2500
533,533,26,100,13,50,50,Random,,,0,2500
534,534,26,100,14,50,50,Random,,,0,2500
535,535,26,100,15,50,50,Random,,,0,2500
536,536,26,100,16,50,50,Random,,,0,2500
537,537,26,100,17,50,50,Random,,,0,2500
538,538,26,100,18,50,50,Random,,,0,2500
539,539,26,100,19,50,50,Random,,,0,2500
540,540,27,100,0,50,50,Random,,,2446,54
541,541,27,100,1,50,50,Random,,,2376,124
542,542,27,100,2,50,50,Random,,,2129,371
543,543,27,100,3,50,50,Random,,,0,2500
544,544,27,100,4,50,50,Random,,,0,2500
545,545,27,100,5,50,50,Random,,,0,2500
546,546,27,100,6,50,50,Random,,,0,2500
547,547,27,100,7,50,50,Random,,,0,2500
548,548,27,100,8,50,50,Random,,,0,2500
549,549,27,100,9,50,50,Random,,,0,2500
550,550,27,100,10,50,50,Random,,,0,2500
551,551,27,100,11,50,50,Random,,,0,2500
552,552,27,100,12,50,50,Random,,,0,2500
553,553,27,100,13,50,50,Random,,,0,2500
554,554,27,100,14,50,50,Random,,,0,2500
555,555,27,100,15,50,50,Random,,,0,2500
556,556,27,100,16,50,50,Random,,,0,2500
557,557,27,100,17,50,50,Random,,,0,2500
558,558,27,100,18,50,50,Random,,,0,2500
559,559,27,100,19,50,50,Random,,,0,2500
560,560,28,100,0,50,50,Random,,,2486,14
